,SiteName,app,date,device_id,fmt_opt,gps_alt,gps_fix,gps_lat,gps_lon,gps_num,s_0,s_1,s_2,s_3,s_d0,s_d1,s_d2,s_h0,s_t0,tick,time,timestamp,ver_app,ver_format
827,74DA38AF4718,AirBox,2018-12-07,74DA38AF4718,1,2.0,1.0,24.135,120.645,9.0,7159.0,100.0,1.0,0.0,2.0,2.0,2.0,57.0,29.12,1544211395.0,19:36:35,2018-12-07T19:36:35Z,0.35.2,3
828,74DA38E69C8A,AirBox,2018-12-07,74DA38E69C8A,1,2.0,1.0,24.155,120.702,9.0,759.0,100.0,1.0,0.0,2.0,2.0,2.0,74.0,25.75,1544212264.0,19:51:04,2018-12-07T19:51:04Z,1.0.7,3
829,74DA38B05254,AirBox,2018-12-07,74DA38B05254,1,2.0,1.0,24.958,121.497,9.0,610.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,21.5,1544211502.0,19:38:22,2018-12-07T19:38:22Z,1.0.7,3
830,74DA38ED05BC,AirBox,2018-12-07,74DA38ED05BC,1,2.0,1.0,25.034,121.541,9.0,7392.0,100.0,1.0,0.0,0.0,0.0,0.0,78.0,22.0,1544212662.0,19:57:42,2018-12-07T19:57:42Z,1.0.7,3
831,74DA38C7D332,AirBox,2018-12-07,74DA38C7D332,1,2.0,1.0,25.048,121.296,9.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,72.0,23.5,1544212157.0,19:49:17,2018-12-07T19:49:17Z,1.0.7,3
832,74DA38C7D334,AirBox,2018-12-07,74DA38C7D334,1,2.0,1.0,24.993,121.339,9.0,1671.0,100.0,1.0,0.0,0.0,1.0,0.0,76.0,23.25,1544212273.0,19:51:13,2018-12-07T19:51:13Z,0.35.2,3
833,74DA38C7D336,AirBox,2018-12-07,74DA38C7D336,1,2.0,1.0,25.002,121.364,9.0,2758.0,100.0,1.0,0.0,0.0,0.0,0.0,70.0,25.25,1544209558.0,19:05:58,2018-12-07T19:05:58Z,0.35.2,3
834,74DA38C7D19E,AirBox,2018-12-07,74DA38C7D19E,1,2.0,1.0,25.067,121.195,9.0,837.0,100.0,1.0,0.0,2.0,4.0,1.0,100.0,22.5,1544212209.0,19:50:09,2018-12-07T19:50:09Z,0.35.2,3
835,taichung122,AirBox,2018-12-07,74DA38C7D19A,1,2.0,1.0,24.133,120.672,9.0,8894.0,100.0,1.0,0.0,2.0,3.0,2.0,82.0,25.37,1544211418.0,19:36:58,2018-12-07T19:36:58Z,0.35.2,3
836,屏東縣縣立佳冬國小,AirBox,2018-12-07,74DA38F20D08,1,2.0,1.0,22.421,120.551,9.0,2264.0,100.0,1.0,0.0,29.0,33.0,20.0,67.0,29.37,1544212331.0,19:52:11,2018-12-07T19:52:11Z,1.0.7,3
